latitude,longitude,distance(km),direction angle(degrees)
55.000000,-128.429956,100.133435,90.000000
54.917830,-128.432107,100.514666,93.000000
54.837511,-128.454016,100.436840,96.000000
54.759230,-128.479841,100.860352,99.000000
54.686307,-128.524189,100.723139,102.000000
54.617193,-128.571345,100.961195,105.000000
54.556389,-128.634707,100.493707,108.000000
54.500673,-128.699210,100.254058,111.000000
54.449947,-128.764560,100.171477,114.000000
54.404099,-128.830479,100.182905,117.000000
54.363009,-128.896700,100.233509,120.000000
54.326546,-128.962972,100.276662,123.000000
54.294571,-129.029060,100.273561,126.000000
54.266935,-129.094740,100.192620,129.000000
54.243485,-129.159805,100.008757,132.000000
54.216302,-129.216302,100.702053,135.000000
54.200583,-129.280202,100.254646,138.000000
54.180480,-129.336366,100.657669,141.000000
54.163681,-129.392379,100.900814,144.000000
54.150110,-129.448075,100.976151,147.000000
54.139681,-129.503295,100.878353,150.000000
54.132305,-129.557888,100.604382,153.000000
54.127886,-129.611710,100.153199,156.000000
54.117583,-129.661272,100.521279,159.000000
54.109965,-129.710810,100.708677,162.000000
54.105000,-129.760186,100.713737,165.000000
54.102649,-129.809262,100.536069,168.000000
54.102868,-129.857908,100.176451,171.000000
54.096661,-129.905055,100.633161,174.000000
54.092930,-129.952462,100.908168,177.000000
54.091685,-130.000000,101.000000,180.000000
54.092930,-130.047538,100.908168,183.000000
54.096661,-130.094945,100.633161,186.000000
54.102868,-130.142092,100.176451,189.000000
54.102649,-130.190738,100.536069,192.000000
54.105000,-130.239814,100.713737,195.000000
54.109965,-130.289190,100.708677,198.000000
54.117583,-130.338728,100.521279,201.000000
54.127886,-130.388290,100.153199,204.000000
54.132305,-130.442112,100.604382,207.000000
54.139681,-130.496705,100.878353,210.000000
54.150110,-130.551925,100.976151,213.000000
54.163681,-130.607621,100.900814,216.000000
54.180480,-130.663634,100.657669,219.000000
54.200583,-130.719798,100.254646,222.000000
54.216302,-130.783698,100.702053,225.000000
54.243485,-130.840195,100.008757,228.000000
54.266935,-130.905260,100.192620,231.000000
54.294571,-130.970940,100.273561,234.000000
54.326546,-131.037028,100.276662,237.000000
54.363009,-131.103300,100.233509,240.000000
54.404099,-131.169521,100.182905,243.000000
54.449947,-131.235440,100.171477,246.000000
54.500673,-131.300790,100.254058,249.000000
54.556389,-131.365293,100.493707,252.000000
54.617193,-131.428655,100.961195,255.000000
54.686307,-131.475811,100.723139,258.000000
54.759230,-131.520159,100.860352,261.000000
54.837511,-131.545984,100.436840,264.000000
54.917830,-131.567893,100.514666,267.000000
55.000000,-131.570044,100.133435,270.000000
55.082170,-131.567893,100.310704,273.000000
55.162489,-131.545984,100.044027,276.000000
55.240770,-131.520159,100.299480,279.000000
55.313693,-131.475811,100.033021,282.000000
55.382807,-131.428655,100.173473,285.000000
55.448047,-131.378946,100.648208,288.000000
55.504320,-131.313798,100.385490,291.000000
55.555554,-131.247794,100.306889,294.000000
55.601860,-131.181216,100.343905,297.000000
55.643361,-131.114333,100.436509,300.000000
55.680188,-131.047398,100.533334,303.000000
55.712484,-130.980650,100.591398,306.000000
55.740396,-130.914313,100.575551,309.000000
55.764080,-130.848597,100.457745,312.000000
55.783698,-130.783698,100.216253,315.000000
55.807411,-130.726996,100.831095,318.000000
55.819520,-130.663634,100.293454,321.000000
55.836319,-130.607621,100.590062,324.000000
55.849890,-130.551925,100.715855,327.000000
55.860319,-130.496705,100.664792,330.000000
55.867695,-130.442112,100.433306,333.000000
55.872114,-130.388290,100.019997,336.000000
55.882417,-130.338728,100.419105,339.000000
55.890035,-130.289190,100.633710,342.000000
55.895000,-130.239814,100.661905,345.000000
55.897351,-130.190738,100.503139,348.000000
55.897132,-130.142092,100.158117,351.000000
55.903339,-130.094945,100.624956,354.000000
55.907070,-130.047538,100.906108,357.000000
55.908315,-130.000000,101.000000,0.000000
55.907070,-129.952462,100.906108,3.000000
55.903339,-129.905055,100.624956,6.000000
55.897132,-129.857908,100.158117,9.000000
55.897351,-129.809262,100.503139,12.000000
55.895000,-129.760186,100.661905,15.000000
55.890035,-129.710810,100.633710,18.000000
55.882417,-129.661272,100.419105,21.000000
55.872114,-129.611710,100.019997,24.000000
55.867695,-129.557888,100.433306,27.000000
55.860319,-129.503295,100.664792,30.000000
55.849890,-129.448075,100.715855,33.000000
55.836319,-129.392379,100.590062,36.000000
55.819520,-129.336366,100.293454,39.000000
55.807411,-129.273004,100.831095,42.000000
55.783698,-129.216302,100.216253,45.000000
55.764080,-129.151403,100.457745,48.000000
55.740396,-129.085687,100.575551,51.000000
55.712484,-129.019350,100.591398,54.000000
55.680188,-128.952602,100.533334,57.000000
55.643361,-128.885667,100.436509,60.000000
55.601860,-128.818784,100.343905,63.000000
55.555554,-128.752206,100.306889,66.000000
55.504320,-128.686202,100.385490,69.000000
55.448047,-128.621054,100.648208,72.000000
55.382807,-128.571345,100.173473,75.000000
55.313693,-128.524189,100.033021,78.000000
55.240770,-128.479841,100.299480,81.000000
55.162489,-128.454016,100.044027,84.000000
55.082170,-128.432107,100.310704,87.000000
55.000000,-128.429956,100.133435,90.000000
