latitude,longitude,distance(km),direction angle(degrees)
55.000000,-129.607489,25.033852,90.000000
54.979458,-129.608027,25.110054,93.000000
54.959378,-129.613504,25.072922,96.000000
54.939808,-129.619960,25.163093,99.000000
54.921577,-129.631047,25.116712,102.000000
54.904298,-129.642836,25.167111,105.000000
54.889097,-129.658677,25.045550,108.000000
54.873920,-129.671551,25.233825,111.000000
54.861112,-129.688052,25.213393,114.000000
54.849535,-129.704696,25.218608,117.000000
54.839160,-129.721417,25.235195,120.000000
54.831637,-129.740743,25.000749,123.000000
54.823643,-129.757265,25.005569,126.000000
54.814901,-129.771422,25.241470,129.000000
54.808980,-129.787851,25.201302,132.000000
54.804075,-129.804075,25.130250,135.000000
54.800146,-129.820050,25.024543,138.000000
54.795120,-129.834091,25.130469,141.000000
54.790920,-129.848095,25.196234,144.000000
54.787527,-129.862019,25.219768,147.000000
54.784920,-129.875824,25.199673,150.000000
54.783076,-129.889472,25.135140,153.000000
54.781971,-129.902927,25.025875,156.000000
54.779396,-129.915318,25.120788,159.000000
54.777491,-129.927703,25.170175,162.000000
54.776250,-129.940046,25.173598,165.000000
54.775662,-129.952316,25.130944,168.000000
54.775717,-129.964477,25.042402,171.000000
54.774165,-129.976264,25.157525,174.000000
54.773232,-129.988116,25.226850,177.000000
54.775170,-130.000000,25.000000,180.000000
54.773232,-130.011884,25.226850,183.000000
54.774165,-130.023736,25.157525,186.000000
54.775717,-130.035523,25.042402,189.000000
54.775662,-130.047684,25.130944,192.000000
54.776250,-130.059954,25.173598,195.000000
54.777491,-130.072297,25.170175,198.000000
54.779396,-130.084682,25.120788,201.000000
54.781971,-130.097073,25.025875,204.000000
54.783076,-130.110528,25.135140,207.000000
54.784920,-130.124176,25.199673,210.000000
54.787527,-130.137981,25.219768,213.000000
54.790920,-130.151905,25.196234,216.000000
54.795120,-130.165909,25.130469,219.000000
54.800146,-130.179950,25.024543,222.000000
54.804075,-130.195925,25.130250,225.000000
54.808980,-130.212149,25.201302,228.000000
54.814901,-130.228578,25.241470,231.000000
54.823643,-130.242735,25.005569,234.000000
54.831637,-130.259257,25.000749,237.000000
54.839160,-130.278583,25.235195,240.000000
54.849535,-130.295304,25.218608,243.000000
54.861112,-130.311948,25.213393,246.000000
54.873920,-130.328449,25.233825,249.000000
54.889097,-130.341323,25.045550,252.000000
54.904298,-130.357164,25.167111,255.000000
54.921577,-130.368953,25.116712,258.000000
54.939808,-130.380040,25.163093,261.000000
54.959378,-130.386496,25.072922,264.000000
54.979458,-130.391973,25.110054,267.000000
55.000000,-130.392511,25.033852,270.000000
55.020542,-130.391973,25.097306,273.000000
55.040622,-130.386496,25.048371,276.000000
55.060192,-130.380040,25.128039,279.000000
55.078423,-130.368953,25.073580,282.000000
55.095702,-130.357164,25.117878,285.000000
55.112012,-130.344737,25.242857,288.000000
55.126080,-130.328449,25.179114,291.000000
55.138888,-130.311948,25.158984,294.000000
55.150465,-130.295304,25.165799,297.000000
55.160840,-130.278583,25.184992,300.000000
55.170047,-130.261850,25.204128,303.000000
55.178121,-130.245162,25.212821,306.000000
55.185099,-130.228578,25.202593,309.000000
55.191020,-130.212149,25.166689,312.000000
55.195925,-130.195925,25.099888,315.000000
55.201853,-130.181749,25.248158,318.000000
55.204880,-130.165909,25.107706,321.000000
55.209080,-130.151905,25.176812,324.000000
55.212473,-130.137981,25.203499,327.000000
55.215080,-130.124176,25.186325,330.000000
55.216924,-130.110528,25.124447,333.000000
55.218029,-130.097073,25.017549,336.000000
55.220604,-130.084682,25.114402,339.000000
55.222509,-130.072297,25.165490,342.000000
55.223750,-130.059954,25.170359,345.000000
55.224338,-130.047684,25.128886,348.000000
55.224283,-130.035523,25.041256,351.000000
55.225835,-130.023736,25.157012,354.000000
55.226768,-130.011884,25.226721,357.000000
55.224830,-130.000000,25.000000,0.000000
55.226768,-129.988116,25.226721,3.000000
55.225835,-129.976264,25.157012,6.000000
55.224283,-129.964477,25.041256,9.000000
55.224338,-129.952316,25.128886,12.000000
55.223750,-129.940046,25.170359,15.000000
55.222509,-129.927703,25.165490,18.000000
55.220604,-129.915318,25.114402,21.000000
55.218029,-129.902927,25.017549,24.000000
55.216924,-129.889472,25.124447,27.000000
55.215080,-129.875824,25.186325,30.000000
55.212473,-129.862019,25.203499,33.000000
55.209080,-129.848095,25.176812,36.000000
55.204880,-129.834091,25.107706,39.000000
55.201853,-129.818251,25.248158,42.000000
55.195925,-129.804075,25.099888,45.000000
55.191020,-129.787851,25.166689,48.000000
55.185099,-129.771422,25.202593,51.000000
55.178121,-129.754838,25.212821,54.000000
55.170047,-129.738150,25.204128,57.000000
55.160840,-129.721417,25.184992,60.000000
55.150465,-129.704696,25.165799,63.000000
55.138888,-129.688052,25.158984,66.000000
55.126080,-129.671551,25.179114,69.000000
55.112012,-129.655263,25.242857,72.000000
55.095702,-129.642836,25.117878,75.000000
55.078423,-129.631047,25.073580,78.000000
55.060192,-129.619960,25.128039,81.000000
55.040622,-129.613504,25.048371,84.000000
55.020542,-129.608027,25.097306,87.000000
55.000000,-129.607489,25.033852,90.000000
