Angle (degrees), Length (km),Mean Size,N uQ > 1, N uQ > 2, N uQ > 5, mean Error+,max Error+
0.000000,100.000000,741.000000,440.000000,219.000000,45.000000,0.736349,16.100000
3.000000,100.000000,417.500000,442.000000,234.000000,52.000000,0.767905,15.200000
6.000000,100.000000,443.000000,510.000000,258.000000,41.000000,0.799266,11.800000
9.000000,100.000000,470.000000,522.000000,269.000000,75.000000,0.881286,15.400000
12.000000,100.000000,478.000000,527.000000,303.000000,63.000000,0.897392,18.299999
15.000000,100.000000,487.500000,556.000000,314.000000,74.000000,0.935694,19.600000
18.000000,100.000000,1034.000000,562.000000,267.000000,57.000000,0.837977,22.600000
21.000000,100.000000,973.000000,574.000000,249.000000,44.000000,0.786072,13.600000
24.000000,100.000000,1006.000000,546.000000,243.000000,40.000000,0.766425,21.100000
27.000000,100.000000,523.000000,528.000000,238.000000,48.000000,0.768637,16.600000
30.000000,100.000000,521.000000,491.000000,217.000000,36.000000,0.694637,14.500000
33.000000,100.000000,539.500000,451.000000,210.000000,47.000000,0.712079,16.500000
36.000000,100.000000,1009.000000,455.000000,187.000000,44.000000,0.658734,17.100000
39.000000,100.000000,1021.000000,487.000000,188.000000,26.000000,0.625275,8.800000
42.000000,100.000000,489.000000,483.000000,190.000000,24.000000,0.619163,8.700000
45.000000,100.000000,1012.000000,490.000000,182.000000,22.000000,0.603603,12.200000
48.000000,100.000000,557.500000,501.000000,227.000000,50.000000,0.685181,15.900000
51.000000,100.000000,1096.000000,495.000000,229.000000,28.000000,0.637712,13.600000
54.000000,100.000000,1175.000000,507.000000,202.000000,46.000000,0.626002,12.400000
57.000000,100.000000,607.500000,539.000000,231.000000,40.000000,0.665139,12.000000
60.000000,100.000000,1145.000000,533.000000,238.000000,39.000000,0.657904,19.700001
63.000000,100.000000,554.500000,543.000000,255.000000,40.000000,0.665669,14.400000
66.000000,100.000000,275.750000,496.000000,234.000000,69.000000,0.699241,16.600000
69.000000,100.000000,245.750000,416.000000,174.000000,43.000000,0.588705,14.000000
72.000000,100.000000,196.000000,411.000000,156.000000,23.000000,0.533760,8.700000
75.000000,100.000000,125.142857,371.000000,172.000000,24.000000,0.549805,9.200000
78.000000,100.000000,165.200000,351.000000,165.000000,33.000000,0.588542,15.599999
81.000000,100.000000,188.666667,272.000000,101.000000,20.000000,0.513973,14.099999
84.000000,100.000000,123.000000,126.000000,41.000000,8.000000,0.360755,10.300000
87.000000,100.000000,79.000000,58.000000,16.000000,0.000000,0.274200,3.700000
90.000000,100.000000,NaN,15.000000,5.000000,0.000000,0.205320,3.400000
93.000000,100.000000,NaN,13.000000,1.000000,0.000000,0.204278,2.200000
96.000000,100.000000,157.000000,51.000000,17.000000,0.000000,0.365224,4.900000
99.000000,100.000000,183.000000,48.000000,10.000000,0.000000,0.329206,4.400000
102.000000,100.000000,72.000000,46.000000,11.000000,2.000000,0.292637,7.700000
105.000000,100.000000,181.000000,55.000000,11.000000,0.000000,0.303960,4.800000
108.000000,100.000000,165.000000,35.000000,9.000000,0.000000,0.258595,3.400000
111.000000,100.000000,115.000000,38.000000,2.000000,0.000000,0.252028,2.200000
114.000000,100.000000,187.000000,53.000000,13.000000,1.000000,0.262389,5.600000
117.000000,100.000000,190.000000,71.000000,29.000000,3.000000,0.302431,6.700000
120.000000,100.000000,126.000000,108.000000,24.000000,2.000000,0.324435,7.800000
123.000000,100.000000,158.500000,103.000000,26.000000,0.000000,0.335106,4.900000
126.000000,100.000000,163.000000,117.000000,31.000000,4.000000,0.379290,6.000000
129.000000,100.000000,257.000000,101.000000,33.000000,2.000000,0.370850,6.900000
132.000000,100.000000,246.000000,94.000000,35.000000,3.000000,0.375886,5.900000
135.000000,100.000000,200.000000,62.000000,18.000000,1.000000,0.318495,6.100000
138.000000,100.000000,151.000000,46.000000,11.000000,0.000000,0.267825,4.400000
141.000000,100.000000,56.000000,18.000000,4.000000,0.000000,0.221722,4.800000
144.000000,100.000000,NaN,25.000000,9.000000,1.000000,0.231673,5.600000
147.000000,100.000000,48.500000,56.000000,20.000000,4.000000,0.305368,15.100000
150.000000,100.000000,159.000000,85.000000,23.000000,5.000000,0.361911,7.700000
153.000000,100.000000,92.000000,99.000000,36.000000,2.000000,0.385893,14.900000
156.000000,100.000000,128.000000,129.000000,46.000000,11.000000,0.460767,8.400000
159.000000,100.000000,156.000000,137.000000,52.000000,9.000000,0.483218,8.400000
162.000000,100.000000,470.000000,169.000000,53.000000,7.000000,0.509665,10.600000
165.000000,100.000000,550.000000,204.000000,51.000000,8.000000,0.516785,8.500000
168.000000,100.000000,569.000000,214.000000,72.000000,8.000000,0.528037,9.200000
171.000000,100.000000,565.000000,250.000000,91.000000,8.000000,0.554574,8.700000
174.000000,100.000000,305.500000,244.000000,88.000000,11.000000,0.541047,10.900000
177.000000,100.000000,276.000000,213.000000,100.000000,14.000000,0.524253,11.600000
180.000000,100.000000,225.500000,198.000000,74.000000,14.000000,0.487025,10.400000
183.000000,100.000000,183.500000,181.000000,73.000000,12.000000,0.462732,13.100000
186.000000,100.000000,133.000000,167.000000,60.000000,8.000000,0.408286,7.200000
189.000000,100.000000,106.500000,153.000000,69.000000,6.000000,0.405975,8.300000
192.000000,100.000000,79.500000,141.000000,66.000000,12.000000,0.395875,8.500000
195.000000,100.000000,75.500000,160.000000,60.000000,12.000000,0.404565,13.500000
198.000000,100.000000,77.000000,160.000000,68.000000,10.000000,0.396919,14.100000
201.000000,100.000000,74.750000,154.000000,67.000000,8.000000,0.400707,9.700000
204.000000,100.000000,72.250000,124.000000,41.000000,5.000000,0.340671,6.200000
207.000000,100.000000,106.333333,149.000000,63.000000,6.000000,0.382387,8.400000
