Angle (degrees), Length (km),Mean Size,N uQ > 1, N uQ > 2, N uQ > 5, mean Error+,max Error+
210.000000,100.000000,146.666667,153.000000,50.000000,6.000000,0.379744,9.000000
213.000000,100.000000,182.333333,172.000000,62.000000,6.000000,0.395297,6.700000
216.000000,100.000000,290.000000,210.000000,87.000000,8.000000,0.435117,7.700000
219.000000,100.000000,598.000000,216.000000,79.000000,18.000000,0.441434,10.800000
222.000000,100.000000,645.000000,254.000000,93.000000,17.000000,0.470284,18.000000
225.000000,100.000000,342.500000,275.000000,105.000000,8.000000,0.468442,7.000000
228.000000,100.000000,725.000000,300.000000,110.000000,12.000000,0.480972,12.100000
231.000000,100.000000,728.000000,298.000000,123.000000,13.000000,0.486818,7.200000
234.000000,100.000000,773.000000,342.000000,125.000000,9.000000,0.496940,8.600000
237.000000,100.000000,854.000000,342.000000,148.000000,27.000000,0.567822,13.700000
240.000000,100.000000,442.500000,314.000000,136.000000,50.000000,0.589094,17.100000
243.000000,100.000000,946.000000,418.000000,144.000000,6.000000,0.546414,8.500000
246.000000,100.000000,911.000000,391.000000,154.000000,13.000000,0.558808,11.700000
249.000000,100.000000,977.000000,432.000000,186.000000,24.000000,0.569490,8.500000
252.000000,100.000000,931.000000,419.000000,194.000000,47.000000,0.607017,13.200000
255.000000,100.000000,890.000000,410.000000,186.000000,39.000000,0.572231,13.100000
258.000000,100.000000,866.000000,351.000000,153.000000,35.000000,0.532599,16.299999
261.000000,100.000000,821.000000,411.000000,190.000000,34.000000,0.568004,13.600000
264.000000,100.000000,536.500000,540.000000,272.000000,58.000000,0.720234,15.400000
267.000000,100.000000,1174.000000,606.000000,319.000000,71.000000,0.823305,18.600000
270.000000,100.000000,1021.000000,522.000000,242.000000,67.000000,0.735099,20.400000
273.000000,100.000000,978.000000,414.000000,182.000000,37.000000,0.599657,11.100000
276.000000,100.000000,982.000000,484.000000,198.000000,34.000000,0.618636,14.000000
279.000000,100.000000,943.000000,530.000000,217.000000,39.000000,0.598573,11.600000
282.000000,100.000000,494.000000,501.000000,210.000000,43.000000,0.603993,12.000000
285.000000,100.000000,343.666667,453.000000,201.000000,61.000000,0.652053,17.700001
288.000000,100.000000,439.000000,408.000000,201.000000,49.000000,0.607907,21.299999
291.000000,100.000000,1099.000000,482.000000,202.000000,52.000000,0.630447,19.700001
294.000000,100.000000,1100.000000,517.000000,232.000000,52.000000,0.669520,12.100000
297.000000,100.000000,1149.000000,496.000000,187.000000,36.000000,0.616556,13.200000
300.000000,100.000000,1218.000000,505.000000,222.000000,36.000000,0.642724,14.900000
303.000000,100.000000,1040.000000,434.000000,208.000000,58.000000,0.649348,17.500000
306.000000,100.000000,980.000000,450.000000,225.000000,53.000000,0.659214,14.600000
309.000000,100.000000,502.000000,416.000000,187.000000,45.000000,0.642166,14.800000
312.000000,100.000000,447.500000,389.000000,178.000000,45.000000,0.596452,11.200000
315.000000,100.000000,945.000000,390.000000,171.000000,34.000000,0.575691,11.900000
318.000000,100.000000,978.000000,431.000000,154.000000,31.000000,0.595414,12.300000
321.000000,100.000000,1040.000000,409.000000,164.000000,29.000000,0.611628,11.100000
324.000000,100.000000,1075.000000,408.000000,166.000000,23.000000,0.608553,8.300000
327.000000,100.000000,1062.000000,397.000000,142.000000,18.000000,0.572504,8.400000
330.000000,100.000000,962.000000,400.000000,124.000000,14.000000,0.552294,8.500000
333.000000,100.000000,473.500000,384.000000,121.000000,19.000000,0.567608,9.200000
336.000000,100.000000,921.000000,388.000000,137.000000,20.000000,0.600111,10.900000
339.000000,100.000000,885.000000,405.000000,160.000000,26.000000,0.623048,9.200000
342.000000,100.000000,994.000000,402.000000,155.000000,25.000000,0.641743,12.100000
345.000000,100.000000,973.000000,425.000000,176.000000,37.000000,0.678532,12.400000
348.000000,100.000000,931.000000,459.000000,210.000000,40.000000,0.718191,14.600000
351.000000,100.000000,950.000000,516.000000,240.000000,43.000000,0.758439,15.400000
354.000000,100.000000,460.000000,456.000000,233.000000,42.000000,0.744258,17.400000
357.000000,100.000000,833.000000,449.000000,208.000000,45.000000,0.738759,15.700000
