Angle (degrees), Length (km),Mean Size,N uQ > 1, N uQ > 2, N uQ > 5, mean Error+,max Error+
0.000000,25.000000,677.000000,770.000000,369.000000,71.000000,0.835326,14.300000
3.000000,25.000000,676.500000,775.000000,361.000000,80.000000,0.849583,13.199999
6.000000,25.000000,689.500000,771.000000,358.000000,82.000000,0.847983,11.500000
9.000000,25.000000,688.500000,756.000000,359.000000,78.000000,0.858144,15.999999
12.000000,25.000000,1336.000000,744.000000,364.000000,75.000000,0.844972,13.099999
15.000000,25.000000,1342.000000,729.000000,348.000000,82.000000,0.830351,11.000000
18.000000,25.000000,1332.000000,710.000000,331.000000,64.000000,0.809028,13.000000
21.000000,25.000000,1312.000000,699.000000,328.000000,59.000000,0.797670,20.800001
24.000000,25.000000,1310.000000,732.000000,325.000000,69.000000,0.821414,17.699999
27.000000,25.000000,1247.000000,707.000000,308.000000,62.000000,0.795635,19.700001
30.000000,25.000000,653.000000,704.000000,281.000000,58.000000,0.793620,19.700001
33.000000,25.000000,1254.000000,688.000000,307.000000,58.000000,0.788100,20.000000
36.000000,25.000000,1280.000000,657.000000,290.000000,67.000000,0.797287,15.799999
39.000000,25.000000,1270.000000,644.000000,279.000000,67.000000,0.786462,14.699999
42.000000,25.000000,619.500000,607.000000,262.000000,64.000000,0.773024,16.299999
45.000000,25.000000,628.000000,621.000000,268.000000,76.000000,0.784689,11.200001
48.000000,25.000000,1202.000000,579.000000,260.000000,64.000000,0.765068,13.799999
51.000000,25.000000,1170.000000,619.000000,293.000000,75.000000,0.796281,15.400000
54.000000,25.000000,1164.000000,618.000000,324.000000,89.000000,0.826540,14.099999
57.000000,25.000000,1175.000000,596.000000,319.000000,80.000000,0.813858,17.300001
60.000000,25.000000,1165.000000,598.000000,328.000000,108.000000,0.868147,16.100000
63.000000,25.000000,1108.000000,589.000000,327.000000,123.000000,0.892392,17.900000
66.000000,25.000000,1066.000000,573.000000,340.000000,109.000000,0.867454,16.200001
69.000000,25.000000,527.000000,569.000000,328.000000,119.000000,0.896325,16.000000
72.000000,25.000000,340.333333,548.000000,343.000000,104.000000,0.866189,19.900000
75.000000,25.000000,342.333333,546.000000,338.000000,93.000000,0.823395,16.000000
78.000000,25.000000,318.333333,561.000000,330.000000,63.000000,0.759360,11.200000
81.000000,25.000000,289.000000,548.000000,302.000000,79.000000,0.738860,9.600000
84.000000,25.000000,415.500000,554.000000,313.000000,80.000000,0.812097,14.900001
87.000000,25.000000,719.000000,516.000000,314.000000,84.000000,0.802407,19.299999
