Angle (degrees), Length (km),Mean Size,N uQ > 1, N uQ > 2, N uQ > 5, mean Error+,max Error+
90.000000,25.000000,677.000000,477.000000,291.000000,85.000000,0.788946,17.200001
93.000000,25.000000,668.000000,477.000000,264.000000,83.000000,0.702058,18.699999
96.000000,25.000000,334.000000,445.000000,262.000000,70.000000,0.663401,14.900000
99.000000,25.000000,649.000000,424.000000,255.000000,70.000000,0.606497,15.600000
102.000000,25.000000,673.000000,455.000000,273.000000,58.000000,0.544727,15.699999
105.000000,25.000000,379.500000,480.000000,253.000000,46.000000,0.442677,9.000000
108.000000,25.000000,408.500000,502.000000,239.000000,34.000000,0.460725,7.700000
111.000000,25.000000,438.500000,515.000000,240.000000,32.000000,0.522953,10.600000
114.000000,25.000000,309.000000,537.000000,233.000000,33.000000,0.556324,11.000000
117.000000,25.000000,255.250000,571.000000,246.000000,31.000000,0.648786,8.400000
120.000000,25.000000,270.250000,563.000000,230.000000,42.000000,0.734003,12.800000
123.000000,25.000000,303.000000,593.000000,243.000000,30.000000,0.753832,10.400000
126.000000,25.000000,201.333333,580.000000,243.000000,43.000000,0.822454,10.800000
129.000000,25.000000,221.400000,599.000000,271.000000,40.000000,0.886884,13.100000
132.000000,25.000000,223.200000,576.000000,274.000000,37.000000,0.892688,14.800000
135.000000,25.000000,235.200000,584.000000,246.000000,42.000000,0.871467,13.300000
138.000000,25.000000,372.666667,589.000000,260.000000,36.000000,0.853776,14.000000
141.000000,25.000000,281.250000,557.000000,248.000000,35.000000,0.847233,13.300000
144.000000,25.000000,284.500000,535.000000,232.000000,29.000000,0.832891,13.000000
147.000000,25.000000,366.000000,525.000000,231.000000,37.000000,0.858874,15.200000
150.000000,25.000000,364.666667,530.000000,239.000000,31.000000,0.850377,9.600000
153.000000,25.000000,368.333333,526.000000,230.000000,29.000000,0.843509,11.200000
156.000000,25.000000,371.333333,501.000000,232.000000,31.000000,0.830365,9.200000
159.000000,25.000000,559.500000,544.000000,219.000000,34.000000,0.849792,13.100000
162.000000,25.000000,582.000000,549.000000,239.000000,40.000000,0.889549,12.300000
165.000000,25.000000,412.333333,604.000000,258.000000,44.000000,0.916863,15.800000
168.000000,25.000000,436.666667,608.000000,287.000000,55.000000,0.954849,13.600000
171.000000,25.000000,436.666667,632.000000,293.000000,62.000000,0.968228,12.600000
174.000000,25.000000,406.000000,644.000000,280.000000,58.000000,0.964525,12.000000
177.000000,25.000000,407.000000,640.000000,282.000000,60.000000,0.964340,15.900000
180.000000,25.000000,426.333333,639.000000,271.000000,49.000000,0.953742,16.100000
183.000000,25.000000,411.000000,634.000000,262.000000,52.000000,0.961467,16.100000
186.000000,25.000000,412.333333,632.000000,269.000000,52.000000,0.949355,17.700001
189.000000,25.000000,415.000000,649.000000,284.000000,53.000000,0.974969,17.000000
192.000000,25.000000,599.000000,679.000000,304.000000,48.000000,0.992625,16.000000
195.000000,25.000000,342.000000,688.000000,334.000000,61.000000,1.035824,17.000000
198.000000,25.000000,417.666667,706.000000,360.000000,67.000000,1.073508,17.000000
201.000000,25.000000,412.666667,718.000000,369.000000,70.000000,1.087627,14.700000
204.000000,25.000000,409.666667,703.000000,350.000000,77.000000,1.068394,14.900000
207.000000,25.000000,1148.000000,689.000000,371.000000,77.000000,1.076069,14.300000
210.000000,25.000000,395.666667,693.000000,376.000000,97.000000,1.098093,13.300000
213.000000,25.000000,596.500000,700.000000,389.000000,100.000000,1.148413,18.500000
216.000000,25.000000,1189.000000,707.000000,400.000000,111.000000,1.185420,15.800000
219.000000,25.000000,605.000000,705.000000,409.000000,124.000000,1.185764,17.900000
222.000000,25.000000,1215.000000,705.000000,412.000000,102.000000,1.173683,19.700001
225.000000,25.000000,1232.000000,709.000000,432.000000,112.000000,1.223810,20.900000
228.000000,25.000000,1222.000000,723.000000,442.000000,106.000000,1.236707,20.500000
231.000000,25.000000,1201.000000,742.000000,444.000000,109.000000,1.216673,18.700001
234.000000,25.000000,1233.000000,781.000000,428.000000,100.000000,1.158958,17.400000
237.000000,25.000000,1219.000000,773.000000,413.000000,98.000000,1.139323,15.800000
240.000000,25.000000,1244.000000,732.000000,414.000000,92.000000,1.135786,17.200001
243.000000,25.000000,1202.000000,748.000000,412.000000,110.000000,1.137658,19.400000
246.000000,25.000000,627.000000,723.000000,382.000000,98.000000,1.110883,18.700001
249.000000,25.000000,646.500000,730.000000,380.000000,105.000000,1.116536,18.100000
252.000000,25.000000,432.000000,731.000000,375.000000,87.000000,1.095562,20.299999
255.000000,25.000000,1370.000000,712.000000,345.000000,76.000000,1.090603,15.100000
258.000000,25.000000,462.000000,689.000000,312.000000,85.000000,1.057539,19.900000
261.000000,25.000000,1358.000000,662.000000,308.000000,65.000000,1.006979,16.700001
264.000000,25.000000,640.000000,648.000000,324.000000,72.000000,0.977246,15.000000
267.000000,25.000000,1259.000000,666.000000,347.000000,75.000000,1.008964,14.500000
270.000000,25.000000,647.500000,693.000000,329.000000,72.000000,0.963039,19.500000
273.000000,25.000000,1288.000000,724.000000,335.000000,69.000000,0.942113,17.000000
276.000000,25.000000,1219.000000,752.000000,383.000000,76.000000,0.894331,14.600000
279.000000,25.000000,618.000000,715.000000,381.000000,81.000000,0.879497,16.700001
282.000000,25.000000,615.500000,711.000000,360.000000,75.000000,0.825854,15.599999
285.000000,25.000000,650.000000,710.000000,350.000000,82.000000,0.781933,13.299999
288.000000,25.000000,668.500000,710.000000,350.000000,76.000000,0.735023,14.200000
291.000000,25.000000,666.000000,711.000000,357.000000,76.000000,0.706829,12.700000
294.000000,25.000000,430.333333,703.000000,376.000000,68.000000,0.683558,13.200000
297.000000,25.000000,419.000000,664.000000,353.000000,63.000000,0.696764,12.700000
300.000000,25.000000,637.500000,639.000000,309.000000,54.000000,0.687883,11.500000
303.000000,25.000000,640.000000,637.000000,294.000000,59.000000,0.710049,11.500000
306.000000,25.000000,1257.000000,647.000000,286.000000,56.000000,0.697886,15.599999
309.000000,25.000000,630.500000,654.000000,275.000000,48.000000,0.686093,12.400001
312.000000,25.000000,1260.000000,671.000000,292.000000,46.000000,0.690718,12.599999
315.000000,25.000000,638.000000,701.000000,315.000000,40.000000,0.718696,10.200000
318.000000,25.000000,660.500000,728.000000,311.000000,38.000000,0.737597,11.299999
321.000000,25.000000,1303.000000,708.000000,333.000000,54.000000,0.762137,11.200001
324.000000,25.000000,1313.000000,717.000000,340.000000,57.000000,0.763924,10.500000
327.000000,25.000000,1329.000000,731.000000,336.000000,45.000000,0.776992,12.900000
330.000000,25.000000,1331.000000,725.000000,334.000000,42.000000,0.771620,12.900000
333.000000,25.000000,661.500000,730.000000,325.000000,48.000000,0.774792,10.800000
336.000000,25.000000,1287.000000,735.000000,302.000000,49.000000,0.779391,12.700000
339.000000,25.000000,1277.000000,733.000000,324.000000,54.000000,0.798361,13.500000
342.000000,25.000000,1215.000000,737.000000,330.000000,49.000000,0.791027,11.500000
345.000000,25.000000,652.000000,771.000000,327.000000,64.000000,0.793593,14.200000
348.000000,25.000000,655.500000,773.000000,354.000000,59.000000,0.800607,12.100000
351.000000,25.000000,658.500000,787.000000,347.000000,60.000000,0.802709,12.200000
354.000000,25.000000,660.500000,773.000000,355.000000,68.000000,0.809898,13.000000
357.000000,25.000000,671.000000,772.000000,353.000000,73.000000,0.820106,13.200000
